Timestamp,Building,Voltage_V,Current_A,Power_W,Energy_kWh
2026-01-02 02:45:00,Library,233.72,11.85,2768.63,0.6922
2026-01-02 03:00:00,Laboratory,230.85,7.19,1660.69,0.4152
2026-01-02 03:15:00,Laboratory,229.08,13.26,3037.13,0.7593
2026-01-02 03:30:00,Academic Block,230.09,8.39,1930.96,0.4827
2026-01-02 03:45:00,Laboratory,231.74,12.42,2879.15,0.7198
2026-01-02 04:00:00,Hostel,227.3,11.1,2523.47,0.6309
2026-01-02 04:15:00,Laboratory,226.11,15.51,3507.97,0.877
2026-01-02 04:30:00,Academic Block,230.98,9.33,2154.94,0.5387
2026-01-02 04:45:00,Hostel,225.11,8.95,2015.18,0.5038
2026-01-02 05:00:00,Computer Lab,232.04,9.94,2306.89,0.5767
2026-01-02 05:15:00,Laboratory,221.49,9.09,2013.42,0.5034
2026-01-02 05:30:00,Academic Block,235.15,12.4,2915.77,0.7289
2026-01-02 05:45:00,Computer Lab,232.36,5.15,1196.92,0.2992
2026-01-02 06:00:00,Computer Lab,231.28,6.84,1581.71,0.3954
2026-01-02 06:15:00,Library,234.91,6.8,1596.61,0.3992
2026-01-02 06:30:00,Hostel,238.33,12.85,3062.73,0.7657
2026-01-02 06:45:00,Laboratory,235.07,15.13,3557.07,0.8893
2026-01-02 07:00:00,Academic Block,220.8,9.69,2138.77,0.5347
2026-01-02 07:15:00,Library,223.6,9.49,2122.77,0.5307
2026-01-02 07:30:00,Hostel,226.88,10.21,2316.44,0.5791
2026-01-02 07:45:00,Library,230.13,13.49,3103.46,0.7759
2026-01-02 08:00:00,Hostel,232.59,7.22,1678.81,0.4197
2026-01-02 08:15:00,Hostel,226.37,10.72,2425.59,0.6064
2026-01-02 08:30:00,Laboratory,230.93,12.93,2984.96,0.7462
2026-01-02 08:45:00,Hostel,226.22,11.5,2602.31,0.6506
2026-01-02 09:00:00,Library,226.94,10.57,2398.5,0.5996
2026-01-02 09:15:00,Hostel,222.97,13.0,2899.27,0.7248
2026-01-02 09:30:00,Laboratory,225.38,1.89,426.04,0.1065
2026-01-02 09:45:00,Laboratory,223.24,12.03,2686.41,0.6716
2026-01-02 10:00:00,Library,225.12,8.04,1809.47,0.4524
2026-01-02 10:15:00,Computer Lab,235.27,4.51,1060.61,0.2652
2026-01-02 10:30:00,Computer Lab,225.25,11.53,2597.98,0.6495
2026-01-02 10:45:00,Hostel,243.16,14.12,3433.68,0.8584
2026-01-02 11:00:00,Academic Block,232.47,9.59,2228.81,0.5572
2026-01-02 11:15:00,Hostel,230.92,12.86,2969.37,0.7423
2026-01-02 11:30:00,Library,225.71,14.84,3348.8,0.8372
2026-01-02 11:45:00,Library,233.5,13.94,3256.12,0.814
2026-01-02 12:00:00,Library,227.12,14.92,3388.63,0.8472
2026-01-02 12:15:00,Library,230.61,12.23,2819.53,0.7049
2026-01-02 12:30:00,Library,242.8,10.23,2482.95,0.6207
2026-01-02 12:45:00,Laboratory,229.52,5.19,1192.15,0.298
2026-01-02 13:00:00,Computer Lab,235.75,9.26,2183.44,0.5459
2026-01-02 13:15:00,Library,226.48,7.47,1691.9,0.423
2026-01-02 13:30:00,Academic Block,229.83,16.51,3795.06,0.9488
2026-01-02 13:45:00,Academic Block,238.85,9.47,2262.51,0.5656
2026-01-02 14:00:00,Academic Block,226.87,10.37,2352.5,0.5881
2026-01-02 14:15:00,Academic Block,239.06,11.65,2786.14,0.6965
2026-01-02 14:30:00,Laboratory,233.54,10.13,2365.94,0.5915
2026-01-02 14:45:00,Academic Block,227.19,15.09,3427.16,0.8568
2026-01-02 15:00:00,Library,233.16,8.13,1896.09,0.474
2026-01-02 15:15:00,Hostel,234.86,10.58,2485.75,0.6214
2026-01-02 15:30:00,Academic Block,233.11,7.77,1811.86,0.453
2026-01-02 15:45:00,Laboratory,222.15,6.04,1341.76,0.3354
2026-01-02 16:00:00,Laboratory,226.36,8.16,1848.2,0.462
2026-01-02 16:15:00,Academic Block,228.76,9.89,2262.21,0.5656
2026-01-02 16:30:00,Hostel,229.63,8.71,2000.54,0.5001
2026-01-02 16:45:00,Academic Block,233.1,7.92,1846.82,0.4617
2026-01-02 17:00:00,Laboratory,230.89,5.78,1334.78,0.3337
2026-01-02 17:15:00,Computer Lab,223.32,9.75,2177.55,0.5444
2026-01-02 17:30:00,Library,231.9,5.49,1272.17,0.318
2026-01-02 17:45:00,Laboratory,233.05,12.28,2861.93,0.7155
2026-01-02 18:00:00,Academic Block,232.8,10.25,2385.57,0.5964
2026-01-02 18:15:00,Library,235.4,5.63,1324.7,0.3312
2026-01-02 18:30:00,Academic Block,234.17,9.07,2124.47,0.5311
2026-01-02 18:45:00,Academic Block,232.3,7.74,1798.79,0.4497
2026-01-02 19:00:00,Computer Lab,229.65,10.96,2516.39,0.6291
2026-01-02 19:15:00,Library,221.7,14.02,3108.47,0.7771
2026-01-02 19:30:00,Library,232.15,4.37,1015.53,0.2539
2026-01-02 19:45:00,Computer Lab,231.04,10.35,2390.11,0.5975
2026-01-02 20:00:00,Laboratory,231.36,9.52,2202.43,0.5506
2026-01-02 20:15:00,Academic Block,223.62,12.01,2686.53,0.6716
2026-01-02 20:30:00,Hostel,224.59,10.64,2389.6,0.5974
2026-01-02 20:45:00,Academic Block,235.27,7.74,1821.92,0.4555
2026-01-02 21:00:00,Academic Block,229.8,9.04,2078.06,0.5195
2026-01-02 21:15:00,Laboratory,233.41,7.61,1776.68,0.4442
2026-01-02 21:30:00,Academic Block,230.14,13.23,3044.32,0.7611
2026-01-02 21:45:00,Computer Lab,230.15,10.06,2316.2,0.5791
2026-01-02 22:00:00,Computer Lab,234.69,15.7,3685.49,0.9214
2026-01-02 22:15:00,Library,227.42,9.82,2232.81,0.5582
2026-01-02 22:30:00,Hostel,230.48,7.87,1814.98,0.4537
2026-01-02 22:45:00,Academic Block,227.69,5.46,1242.92,0.3107
2026-01-02 23:00:00,Academic Block,227.83,4.59,1045.86,0.2615
2026-01-02 23:15:00,Laboratory,228.45,5.25,1198.83,0.2997
2026-01-02 23:30:00,Computer Lab,231.11,10.8,2496.31,0.6241
2026-01-02 23:45:00,Hostel,227.61,11.53,2623.43,0.6559
2026-01-03 00:00:00,Library,236.28,5.26,1241.98,0.3105
2026-01-03 00:15:00,Computer Lab,225.53,12.69,2860.84,0.7152
2026-01-03 00:30:00,Library,229.07,8.55,1958.7,0.4897
2026-01-03 00:45:00,Laboratory,227.8,10.44,2378.33,0.5946
2026-01-03 01:00:00,Laboratory,237.23,14.84,3519.77,0.8799
2026-01-03 01:15:00,Academic Block,230.98,12.69,2931.29,0.7328
2026-01-03 01:30:00,Hostel,235.16,9.19,2162.15,0.5405
2026-01-03 01:45:00,Library,222.57,7.33,1630.66,0.4077
2026-01-03 02:00:00,Computer Lab,231.34,3.54,819.98,0.205
2026-01-03 02:15:00,Laboratory,234.45,7.84,1838.67,0.4597
2026-01-03 02:30:00,Academic Block,230.41,9.37,2158.17,0.5395
2026-01-03 02:45:00,Academic Block,235.33,7.04,1656.34,0.4141
2026-01-03 03:00:00,Library,227.41,9.61,2184.59,0.5461
2026-01-03 03:15:00,Laboratory,237.05,10.23,2425.12,0.6063
2026-01-03 03:30:00,Hostel,241.49,9.33,2252.04,0.563
2026-01-03 03:45:00,Laboratory,228.19,8.05,1836.89,0.4592
2026-01-03 04:00:00,Library,227.77,10.51,2392.97,0.5982
2026-01-03 04:15:00,Library,237.27,11.33,2687.24,0.6718
2026-01-03 04:30:00,Laboratory,237.9,6.73,1600.77,0.4002
2026-01-03 04:45:00,Library,227.39,14.23,3236.33,0.8091
2026-01-03 05:00:00,Laboratory,227.9,9.7,2211.59,0.5529
2026-01-03 05:15:00,Computer Lab,228.59,10.06,2298.84,0.5747
2026-01-03 05:30:00,Laboratory,223.28,12.12,2707.16,0.6768
2026-01-03 05:45:00,Laboratory,225.41,10.7,2411.77,0.6029
2026-01-03 06:00:00,Library,224.98,12.86,2893.1,0.7233
2026-01-03 06:15:00,Library,226.16,10.86,2456.42,0.6141
2026-01-03 06:30:00,Academic Block,229.83,8.16,1876.0,0.469
2026-01-03 06:45:00,Academic Block,231.17,11.08,2562.42,0.6406
2026-01-03 07:00:00,Computer Lab,237.75,6.57,1561.75,0.3904
2026-01-03 07:15:00,Academic Block,225.01,10.33,2323.36,0.5808
2026-01-03 07:30:00,Laboratory,234.92,9.9,2325.8,0.5814
2026-01-03 07:45:00,Library,228.93,9.38,2146.37,0.5366
2026-01-03 08:00:00,Academic Block,229.75,9.61,2208.93,0.5522
2026-01-03 08:15:00,Academic Block,233.37,4.35,1016.22,0.2541
2026-01-03 08:30:00,Computer Lab,224.39,8.35,1874.48,0.4686
2026-01-03 08:45:00,Computer Lab,231.91,10.28,2383.72,0.5959
2026-01-03 09:00:00,Laboratory,230.83,10.48,2419.02,0.6048
2026-01-03 09:15:00,Library,232.46,6.92,1607.94,0.402
2026-01-03 09:30:00,Computer Lab,231.45,13.8,3193.29,0.7983
2026-01-03 09:45:00,Academic Block,242.28,7.4,1793.2,0.4483
2026-01-03 10:00:00,Library,226.81,12.91,2927.76,0.7319
2026-01-03 10:15:00,Library,227.35,11.28,2564.81,0.6412
2026-01-03 10:30:00,Academic Block,226.88,8.06,1828.99,0.4572
2026-01-03 10:45:00,Computer Lab,227.22,15.33,3482.4,0.8706
2026-01-03 11:00:00,Academic Block,226.81,6.42,1455.93,0.364
2026-01-03 11:15:00,Library,235.95,12.76,3010.06,0.7525
2026-01-03 11:30:00,Hostel,237.1,13.0,3082.75,0.7707
2026-01-03 11:45:00,Hostel,227.15,7.99,1814.48,0.4536
2026-01-03 12:00:00,Laboratory,225.84,14.18,3201.8,0.8004
2026-01-03 12:15:00,Academic Block,232.36,9.25,2149.27,0.5373
2026-01-03 12:30:00,Academic Block,227.24,10.87,2469.2,0.6173
2026-01-03 12:45:00,Laboratory,233.16,10.78,2513.74,0.6284
2026-01-03 13:00:00,Laboratory,231.01,9.6,2217.06,0.5543
2026-01-03 13:15:00,Laboratory,222.42,12.43,2765.24,0.6913
2026-01-03 13:30:00,Library,237.74,12.38,2943.3,0.7358
2026-01-03 13:45:00,Academic Block,238.98,4.75,1136.2,0.2841
2026-01-03 14:00:00,Library,226.94,13.91,3157.37,0.7893
2026-01-03 14:15:00,Laboratory,228.06,5.01,1143.16,0.2858
2026-01-03 14:30:00,Academic Block,231.43,13.1,3031.18,0.7578
2026-01-03 14:45:00,Library,231.67,13.38,3099.8,0.775
2026-01-03 15:00:00,Library,233.29,6.73,1569.38,0.3923
2026-01-03 15:15:00,Laboratory,240.05,8.77,2104.66,0.5262
2026-01-03 15:30:00,Academic Block,229.12,6.68,1531.15,0.3828
2026-01-03 15:45:00,Laboratory,226.01,9.36,2114.36,0.5286
2026-01-03 16:00:00,Academic Block,223.1,9.08,2024.86,0.5062
2026-01-03 16:15:00,Hostel,226.35,12.34,2792.87,0.6982
2026-01-03 16:30:00,Computer Lab,229.83,13.93,3201.81,0.8005
2026-01-03 16:45:00,Computer Lab,238.97,14.19,3390.32,0.8476
2026-01-03 17:00:00,Computer Lab,227.41,8.31,1890.59,0.4726
2026-01-03 17:15:00,Laboratory,231.12,9.37,2166.12,0.5415
2026-01-03 17:30:00,Hostel,229.92,4.95,1138.02,0.2845
2026-01-03 17:45:00,Academic Block,235.94,7.58,1789.0,0.4473
2026-01-03 18:00:00,Library,242.63,12.89,3128.67,0.7822
2026-01-03 18:15:00,Academic Block,227.35,14.85,3375.34,0.8438
2026-01-03 18:30:00,Library,227.55,6.3,1432.89,0.3582
2026-01-03 18:45:00,Academic Block,235.22,8.22,1934.13,0.4835
2026-01-03 19:00:00,Hostel,233.41,9.92,2315.6,0.5789
2026-01-03 19:15:00,Library,239.23,10.84,2593.41,0.6484
2026-01-03 19:30:00,Laboratory,232.92,7.57,1763.48,0.4409
2026-01-03 19:45:00,Academic Block,228.2,11.27,2572.35,0.6431
2026-01-03 20:00:00,Academic Block,232.95,8.58,1998.39,0.4996
2026-01-03 20:15:00,Library,235.54,9.96,2345.22,0.5863
2026-01-03 20:30:00,Laboratory,234.1,11.64,2724.68,0.6812
2026-01-03 20:45:00,Laboratory,232.54,10.02,2329.84,0.5825
2026-01-03 21:00:00,Hostel,235.33,8.69,2045.25,0.5113
2026-01-03 21:15:00,Laboratory,235.85,9.67,2280.91,0.5702
2026-01-03 21:30:00,Laboratory,236.91,9.73,2306.31,0.5766
2026-01-03 21:45:00,Laboratory,233.24,8.89,2073.53,0.5184
2026-01-03 22:00:00,Computer Lab,229.16,9.22,2113.72,0.5284
2026-01-03 22:15:00,Hostel,230.73,14.8,3413.92,0.8535
2026-01-03 22:30:00,Academic Block,236.03,11.68,2757.51,0.6894
2026-01-03 22:45:00,Library,225.92,9.11,2058.89,0.5147
2026-01-03 23:00:00,Academic Block,231.84,12.09,2803.19,0.7008
2026-01-03 23:15:00,Hostel,228.03,9.0,2051.97,0.513
2026-01-03 23:30:00,Library,230.14,13.52,3111.4,0.7778
2026-01-03 23:45:00,Hostel,236.39,11.11,2626.06,0.6565
2026-01-04 00:00:00,Laboratory,230.96,9.68,2235.21,0.5588
2026-01-04 00:15:00,Library,230.23,11.34,2611.56,0.6529
2026-01-04 00:30:00,Laboratory,223.2,5.29,1180.15,0.295
2026-01-04 00:45:00,Academic Block,233.73,6.62,1547.23,0.3868
2026-01-04 01:00:00,Academic Block,233.23,6.42,1496.91,0.3742
2026-01-04 01:15:00,Library,240.82,10.43,2511.43,0.6279
2026-01-04 01:30:00,Library,228.46,15.2,3472.05,0.868
2026-01-04 01:45:00,Hostel,231.1,16.69,3857.89,0.9645
2026-01-04 02:00:00,Hostel,231.25,11.91,2755.11,0.6888
2026-01-04 02:15:00,Laboratory,237.89,11.5,2736.31,0.6841
2026-01-04 02:30:00,Library,229.52,4.6,1055.08,0.2638
2026-01-04 02:45:00,Academic Block,231.4,8.37,1937.23,0.4843
2026-01-04 03:00:00,Hostel,233.04,7.64,1779.64,0.4449
2026-01-04 03:15:00,Hostel,230.93,8.14,1879.21,0.4698
2026-01-04 03:30:00,Academic Block,227.77,9.5,2162.79,0.5407
2026-01-04 03:45:00,Hostel,230.97,8.58,1982.59,0.4956
2026-01-04 04:00:00,Laboratory,235.37,4.06,956.09,0.239
2026-01-04 04:15:00,Library,224.87,12.24,2753.22,0.6883
2026-01-04 04:30:00,Academic Block,230.66,6.78,1564.32,0.3911
2026-01-04 04:45:00,Library,226.5,10.72,2427.56,0.6069
2026-01-04 05:00:00,Hostel,235.98,16.22,3828.05,0.957
2026-01-04 05:15:00,Hostel,222.38,7.24,1610.47,0.4026
2026-01-04 05:30:00,Academic Block,227.21,2.41,547.37,0.1368
2026-01-04 05:45:00,Laboratory,231.89,9.14,2119.9,0.53
2026-01-04 06:00:00,Computer Lab,237.83,13.3,3163.79,0.7909
2026-01-04 06:15:00,Academic Block,229.67,15.88,3646.04,0.9115
2026-01-04 06:30:00,Computer Lab,227.22,6.31,1434.09,0.3585
2026-01-04 06:45:00,Computer Lab,239.41,11.49,2750.8,0.6877
2026-01-04 07:00:00,Laboratory,222.76,8.6,1916.64,0.4792
2026-01-04 07:15:00,Computer Lab,219.01,9.68,2120.45,0.5301
2026-01-04 07:30:00,Computer Lab,232.2,17.93,4164.05,1.041
2026-01-04 07:45:00,Laboratory,227.49,5.49,1249.17,0.3123
2026-01-04 08:00:00,Computer Lab,224.89,10.76,2420.13,0.605
2026-01-04 08:15:00,Computer Lab,233.54,11.4,2663.1,0.6658
2026-01-04 08:30:00,Computer Lab,231.22,13.26,3065.35,0.7663
2026-01-04 08:45:00,Academic Block,227.18,10.29,2338.58,0.5846
2026-01-04 09:00:00,Academic Block,223.6,10.92,2442.62,0.6107
2026-01-04 09:15:00,Academic Block,234.36,8.83,2068.26,0.5171
2026-01-04 09:30:00,Laboratory,233.25,10.81,2520.83,0.6302
2026-01-04 09:45:00,Hostel,229.5,8.97,2058.75,0.5147
2026-01-04 10:00:00,Computer Lab,239.23,11.86,2838.43,0.7096
2026-01-04 10:15:00,Computer Lab,224.65,8.89,1997.4,0.4993
2026-01-04 10:30:00,Laboratory,222.37,11.13,2475.29,0.6188
2026-01-04 10:45:00,Computer Lab,226.54,9.91,2245.52,0.5614
2026-01-04 11:00:00,Academic Block,229.77,13.38,3073.93,0.7685
2026-01-04 11:15:00,Hostel,231.22,9.85,2276.52,0.5691
2026-01-04 11:30:00,Library,228.79,4.68,1070.96,0.2677
2026-01-04 11:45:00,Computer Lab,231.76,13.79,3194.99,0.7987
2026-01-04 12:00:00,Academic Block,223.74,7.28,1629.47,0.4074
2026-01-04 12:15:00,Library,237.22,8.04,1906.93,0.4767
2026-01-04 12:30:00,Hostel,229.59,8.21,1885.62,0.4714
2026-01-04 12:45:00,Library,235.59,14.12,3327.26,0.8318
2026-01-04 13:00:00,Academic Block,231.71,3.59,832.54,0.2081
2026-01-04 13:15:00,Library,232.28,19.41,4509.38,1.1273
2026-01-04 13:30:00,Laboratory,232.85,13.17,3066.19,0.7665
2026-01-04 13:45:00,Library,232.24,10.67,2477.92,0.6195
2026-01-04 14:00:00,Computer Lab,233.21,9.84,2293.73,0.5734
2026-01-04 14:15:00,Computer Lab,236.65,10.86,2569.18,0.6423
2026-01-04 14:30:00,Laboratory,230.98,11.56,2670.94,0.6677
2026-01-04 14:45:00,Academic Block,233.55,11.94,2787.51,0.6969
2026-01-04 15:00:00,Computer Lab,229.55,11.67,2678.13,0.6695
2026-01-04 15:15:00,Hostel,237.2,10.27,2435.75,0.6089
2026-01-04 15:30:00,Computer Lab,226.62,9.41,2132.02,0.533
2026-01-04 15:45:00,Computer Lab,239.0,9.55,2281.58,0.5704
2026-01-04 16:00:00,Academic Block,229.8,9.42,2163.62,0.5409
2026-01-04 16:15:00,Library,222.85,13.4,2986.43,0.7466
2026-01-04 16:30:00,Computer Lab,230.64,11.78,2717.1,0.6793
2026-01-04 16:45:00,Laboratory,226.59,1.18,267.12,0.0668
2026-01-04 17:00:00,Library,234.2,11.97,2802.87,0.7007
2026-01-04 17:15:00,Hostel,226.74,10.58,2399.83,0.6
2026-01-04 17:30:00,Academic Block,227.77,9.94,2264.91,0.5662
2026-01-04 17:45:00,Hostel,220.55,8.83,1948.46,0.4871
2026-01-04 18:00:00,Library,227.74,13.37,3045.4,0.7613
2026-01-04 18:15:00,Library,217.88,12.84,2798.15,0.6995
2026-01-04 18:30:00,Library,222.08,7.68,1705.88,0.4265
2026-01-04 18:45:00,Hostel,233.8,11.22,2623.53,0.6559
2026-01-04 19:00:00,Library,233.93,7.09,1657.39,0.4143
2026-01-04 19:15:00,Hostel,232.13,5.86,1360.53,0.3401
2026-01-04 19:30:00,Library,225.17,8.12,1828.31,0.4571
2026-01-04 19:45:00,Laboratory,229.76,12.59,2892.05,0.723
2026-01-04 20:00:00,Library,229.98,12.86,2957.42,0.7394
2026-01-04 20:15:00,Hostel,224.21,11.54,2587.2,0.6468
2026-01-04 20:30:00,Computer Lab,237.52,12.18,2891.84,0.723
2026-01-04 20:45:00,Library,234.39,11.55,2706.82,0.6767
2026-01-04 21:00:00,Computer Lab,228.9,8.08,1848.46,0.4621
2026-01-04 21:15:00,Laboratory,230.13,11.3,2599.55,0.6499
2026-01-04 21:30:00,Academic Block,231.04,12.4,2865.2,0.7163
2026-01-04 21:45:00,Laboratory,219.79,12.26,2695.27,0.6738
2026-01-04 22:00:00,Library,228.76,13.57,3103.58,0.7759
2026-01-04 22:15:00,Computer Lab,226.59,12.12,2747.38,0.6868
2026-01-04 22:30:00,Computer Lab,224.99,11.05,2487.14,0.6218
2026-01-04 22:45:00,Hostel,228.59,13.21,3019.84,0.755
2026-01-04 23:00:00,Computer Lab,238.99,9.92,2370.87,0.5927
2026-01-04 23:15:00,Hostel,233.2,7.35,1715.07,0.4288
2026-01-04 23:30:00,Academic Block,227.14,9.51,2160.32,0.5401
2026-01-04 23:45:00,Library,232.86,7.77,1808.25,0.4521
2026-01-05 00:00:00,Hostel,237.0,7.97,1889.92,0.4725
